n,shortcode,url,caption,cuenta,fecha,views,likes,comments,duracion_seg,transcripto
113,CsULzsSxSGj,https://www.instagram.com/p/CsULzsSxSGj/,Tu marca puede ser exitosa sin necesidad de invertir en campañas. 🎯,@victorherasemprendedor,2023-05-16,82082,3048,236,61,no
114,DPbwj-lkefp,https://www.instagram.com/p/DPbwj-lkefp/,Si quieres saber como conseguí 500.000 seguidores para Christian y como puedes hacerlo para ti.,@herasmedia,2025-10-05,81826,2125,952,85,no
115,Cs9XE39tlnr,https://www.instagram.com/p/Cs9XE39tlnr/,"No creces en redes sociales por este motivo, pero tengo la solución 🎯",@victorherasemprendedor,2023-06-01,81704,2608,57,62,no
116,DV_iaVjkbkg,https://www.instagram.com/p/DV_iaVjkbkg/,"Si quieres saber cómo hacer buenas ideas para hacer contenido viral, comenta ""IDEA""👇",@herasmedia,2026-03-17,81510,2948,1805,81,no
117,DQr5qfJEfqS,https://www.instagram.com/p/DQr5qfJEfqS/,"Si quieres saber cómo hacer un contenido viral para cualquier nicho, comenta ""VÍDEO""👇",@herasmedia,2025-11-05,80680,1876,667,91,no
118,DZVcRVARtY-,https://www.instagram.com/p/DZVcRVARtY-/,Si quieres saber cómo aplicar esto en tu nicho en concreto,@herasmedia,2026-06-08,79289,1893,1906,74,no
119,DailptGTCYu,https://www.instagram.com/p/DailptGTCYu/,"Comenta ""FORMATO""👇y te mando un sistema en el qué respondes 5 preguntas y te dice que formato usar según tu marca y tu contenido",@herasmedia,2026-07-08,79033,3091,3573,74,no
120,CkrJLB9gmTu,https://www.instagram.com/p/CkrJLB9gmTu/,Comenta MASTERCLASS y te envío en link para que te registres 👇,@victorherasemprendedor,2022-11-07,78211,2235,400,76,no
121,CjgMJJEpm4K,https://www.instagram.com/p/CjgMJJEpm4K/,Un riñón por un iPhone 14 ¿Lo harías?,@victorherasemprendedor,2022-10-09,77137,2368,187,71,no
122,CjBY372JKBC,https://www.instagram.com/p/CjBY372JKBC/,Te quiero contar algo… 💡,@victorherasemprendedor,2022-09-27,76682,2951,175,67,no
123,DZpxIrCxpG5,https://www.instagram.com/p/DZpxIrCxpG5/,"Si quieres saber cómo llegar a 100.000 seguidores y a cómo hacer tu biografía, comenta ""YO""👇",@herasmedia,2026-06-16,76493,2628,1096,85,no
124,CrysyEZP4Z4,https://www.instagram.com/p/CrysyEZP4Z4/,Vende más y genera altas ganancias con este ejemplo 👇,@victorherasemprendedor,2023-05-03,75739,3315,51,57,no
125,DOl1CXUEVOZ,https://www.instagram.com/p/DOl1CXUEVOZ/,"Si tú también quieres ganar $86.000 comenta la palabra ""CLASE"" en este video 👇",@herasmedia,2025-09-14,74913,1462,783,61,no
126,CsovYi3tc6P,https://www.instagram.com/p/CsovYi3tc6P/,Lo que debes conseguir con tus seguidores.,@victorherasemprendedor,2023-05-24,74510,2054,40,60,no
127,DWE3fqWJEas,https://www.instagram.com/p/DWE3fqWJEas/,"Si quieres saber qué contenido hacer, guiones y ganchos dependiendo de tu nicho, comenta ""CLASE""👇",@herasmedia,2026-03-19,74316,2832,1982,92,no
128,CoF7HKQLYx9,https://www.instagram.com/p/CoF7HKQLYx9/,La clave para ganar mucho dinero es ¿un Doritos? 🎯😳,@victorherasemprendedor,2023-01-31,72649,2823,27,78,no
129,DblqltOxK_8,https://www.instagram.com/p/DblqltOxK_8/,"Si quieres un plan personalizado según tu producto y tu nicho comenta ""NICHO""👇 y te lo mando",@herasmedia,2026-08-03,72213,1831,2607,54,no
130,DPJzWRSkVrD,https://www.instagram.com/p/DPJzWRSkVrD/,"Si quieres saber cómo hacer contenido viral para cualquier nicho, comenta ""CLASE"" en este video 👇",@herasmedia,2025-09-28,71724,1499,988,58,no
131,DTQtQCfkR5Z,https://www.instagram.com/p/DTQtQCfkR5Z/,"$4,488,927.40 se han generado con esta cuenta de Instagram este año…",@herasmedia,2026-01-08,71658,1281,444,95,no
132,CsEwvUUtReL,https://www.instagram.com/p/CsEwvUUtReL/,Mientras más largas ¿mejor?,@victorherasemprendedor,2023-05-10,71283,3004,30,58,no
133,DVg2CdVEfb5,https://www.instagram.com/p/DVg2CdVEfb5/,"Si quieres ganar seguidores este 2026 cometa la palabra ""PLAN” 👇 y te doy el plan personalizado para tu cuenta para llegar a 100.000 seguidores",@herasmedia,2026-03-05,70989,2095,573,77,no
134,CsPGGKzLZvP,https://www.instagram.com/p/CsPGGKzLZvP/,Tengo algo que decirte 👇,@victorherasemprendedor,2023-05-14,70446,2488,28,51,no
135,Ckl473Hv1cd,https://www.instagram.com/p/Ckl473Hv1cd/,Link de registro a la Masterclass en mi BIO 👆,@victorherasemprendedor,2022-11-05,69624,1668,325,51,no
136,Cj6E-9fJaAt,https://www.instagram.com/p/Cj6E-9fJaAt/,Hace unos días me fui a Portugal para quedar con Dima @dima.torgov,@victorherasemprendedor,2022-10-19,69544,1469,221,58,no
